ts,low,high,open,close
2017-08-17 0:00:00,"4,200.74","4,485.39","4,261.48","4,285.08"
2017-08-18 0:00:00,"3,938.77","4,371.52","4,285.08","4,108.37"
2017-08-19 0:00:00,"3,850.00","4,184.69","4,108.37","4,139.98"
2017-08-20 0:00:00,"4,032.62","4,211.08","4,120.98","4,086.29"
2017-08-21 0:00:00,"3,911.79","4,119.62","4,069.13","4,016.00"
2017-08-22 0:00:00,"3,400.00","4,104.82","4,016.00","4,040.00"
2017-08-23 0:00:00,"4,013.89","4,265.80","4,040.00","4,114.01"
2017-08-24 0:00:00,"4,085.01","4,371.68","4,147.00","4,316.01"
2017-08-25 0:00:00,"4,247.48","4,453.91","4,316.01","4,280.68"
2017-08-26 0:00:00,"4,212.41","4,367.00","4,280.71","4,337.44"
2017-08-27 0:00:00,"4,285.54","4,400.00","4,332.51","4,310.01"
2017-08-28 0:00:00,"4,124.54","4,399.82","4,310.01","4,386.69"
2017-08-29 0:00:00,"4,313.55","4,625.85","4,353.65","4,587.48"
2017-08-30 0:00:00,"4,416.01","4,647.51","4,564.52","4,555.14"
2017-08-31 0:00:00,"4,555.14","4,745.42","4,555.14","4,724.89"
2017-09-01 0:00:00,"4,654.88","4,885.55","4,689.89","4,834.91"
2017-09-02 0:00:00,"4,286.87","4,939.19","4,796.16","4,472.14"
2017-09-03 0:00:00,"4,298.33","4,714.76","4,508.50","4,509.08"
2017-09-04 0:00:00,"3,972.51","4,527.49","4,505.00","4,100.11"
2017-09-05 0:00:00,"3,603.00","4,484.99","4,106.97","4,366.47"
2017-09-06 0:00:00,"4,335.26","4,662.87","4,366.49","4,619.77"
2017-09-07 0:00:00,"4,438.19","4,788.59","4,619.77","4,691.61"
2017-09-08 0:00:00,"4,028.93","4,735.39","4,691.66","4,282.80"
2017-09-09 0:00:00,"4,150.06","4,426.62","4,282.80","4,258.81"
2017-09-10 0:00:00,"3,801.00","4,283.00","4,258.81","4,130.37"
2017-09-11 0:00:00,"4,098.91","4,334.43","4,153.62","4,208.47"
2017-09-12 0:00:00,"4,040.80","4,394.59","4,208.60","4,163.72"
2017-09-13 0:00:00,"3,760.00","4,165.38","4,159.72","3,944.69"
2017-09-14 0:00:00,"3,165.13","3,993.00","3,944.00","3,189.02"
2017-09-15 0:00:00,"2,817.00","3,856.00","3,188.01","3,700.00"
2017-09-16 0:00:00,"3,470.66","3,950.00","3,674.01","3,714.95"
2017-09-17 0:00:00,"3,499.02","3,748.21","3,685.23","3,699.99"
2017-09-18 0:00:00,"3,690.00","4,123.20","3,690.00","4,035.01"
2017-09-19 0:00:00,"3,830.91","4,089.97","4,060.00","3,910.04"
2017-09-20 0:00:00,"3,820.00","4,046.08","3,910.04","3,900.00"
2017-09-21 0:00:00,"3,567.00","3,910.00","3,889.99","3,609.99"
2017-09-22 0:00:00,"3,505.55","3,750.00","3,592.84","3,595.87"
2017-09-23 0:00:00,"3,542.91","3,817.19","3,595.88","3,780.00"
2017-09-24 0:00:00,"3,622.76","3,789.99","3,779.54","3,660.02"
2017-09-25 0:00:00,"3,653.69","3,979.87","3,660.02","3,920.75"
2017-09-26 0:00:00,"3,850.05","3,976.99","3,928.00","3,882.35"
2017-09-27 0:00:00,"3,872.81","4,249.94","3,882.36","4,193.00"
2017-09-28 0:00:00,"4,101.00","4,300.00","4,192.11","4,174.50"
2017-09-29 0:00:00,"3,952.01","4,263.86","4,178.98","4,174.69"
2017-09-30 0:00:00,"4,138.10","4,380.00","4,175.00","4,378.51"
2017-10-01 0:00:00,"4,240.04","4,406.52","4,378.49","4,378.48"
2017-10-02 0:00:00,"4,360.00","4,561.63","4,400.00","4,380.00"
2017-10-03 0:00:00,"4,180.80","4,467.33","4,380.00","4,310.00"
2017-10-04 0:00:00,"4,142.00","4,373.00","4,314.90","4,208.59"
2017-10-05 0:00:00,"4,110.00","4,355.00","4,208.59","4,292.43"
2017-10-06 0:00:00,"4,292.00","4,417.00","4,318.99","4,369.00"
2017-10-07 0:00:00,"4,312.56","4,479.50","4,369.00","4,423.00"
2017-10-08 0:00:00,"4,425.00","4,658.00","4,425.00","4,640.00"
2017-10-09 0:00:00,"4,550.00","4,889.98","4,640.00","4,786.95"
2017-10-10 0:00:00,"4,680.59","4,960.00","4,786.95","4,783.06"
2017-10-11 0:00:00,"4,710.00","4,881.61","4,783.06","4,821.43"
2017-10-12 0:00:00,"4,810.16","5,439.99","4,821.43","5,430.00"
2017-10-13 0:00:00,"5,379.84","5,846.17","5,439.99","5,649.98"
2017-10-14 0:00:00,"5,580.01","5,900.00","5,650.00","5,869.99"
2017-10-15 0:00:00,"5,400.01","5,922.30","5,855.03","5,709.99"
2017-10-16 0:00:00,"5,585.19","5,788.91","5,710.00","5,760.02"
2017-10-17 0:00:00,"5,508.63","5,774.98","5,760.00","5,595.00"
2017-10-18 0:00:00,"5,037.95","5,596.00","5,595.00","5,512.06"
2017-10-19 0:00:00,"5,490.26","5,710.00","5,513.00","5,683.90"
2017-10-20 0:00:00,"5,600.00","6,110.00","5,683.31","6,010.01"
2017-10-21 0:00:00,"5,850.03","6,171.00","6,013.72","6,024.97"
2017-10-22 0:00:00,"5,720.03","6,060.00","6,003.27","5,950.02"
2017-10-23 0:00:00,"5,621.03","6,080.00","5,975.00","5,915.93"
2017-10-24 0:00:00,"5,450.00","5,925.00","5,909.47","5,477.03"
2017-10-25 0:00:00,"5,286.98","5,704.96","5,506.92","5,689.99"
2017-10-26 0:00:00,"5,650.00","5,939.99","5,670.10",5861.77
2017-10-27 0:00:00,"5,649.24","5,980.00","5,861.77",5768.83
2017-10-28 0:00:00,"5,630.03","5,850.02","5,768.79",5719.64
2017-10-29 0:00:00,"5,648.01","6,189.88","5,709.98",6169.98
2017-10-30 0:00:00,"6,030.00","6,248.68","6,133.01",6120.5
2017-10-31 0:00:00,"6,100.00","6,498.01","6,120.52",6463
2017-11-01 0:00:00,"6,338.02","6,774.67","6,463.00",6753.98
2017-11-02 0:00:00,"6,685.10","7,300.00","6,753.98",7019.98
2017-11-03 0:00:00,"6,923.00","7,346.34","7,010.31",7115.04
2017-11-04 0:00:00,"6,901.00","7,480.99","7,115.02",7357.09
2017-11-05 0:00:00,"7,279.02","7,590.25","7,357.27",7345.01
2017-11-06 0:00:00,"6,906.00","7,401.00","7,345.10",6960.12
2017-11-07 0:00:00,"6,901.00","7,198.49","6,981.72",7064.04
2017-11-08 0:00:00,"6,651.00","7,770.02","7,070.00",7303
2017-11-09 0:00:00,"7,015.00","7,392.00","7,303.01",7079.99
2017-11-10 0:00:00,"6,255.01","7,279.91","7,079.00",6506.98
2017-11-11 0:00:00,"6,100.00","6,797.98","6,503.00",6245.05
2017-11-12 0:00:00,"5,325.01","6,630.00","6,245.05",5811.03
2017-11-13 0:00:00,"5,699.99","6,697.47","5,839.94",6465.99
2017-11-14 0:00:00,"6,311.07","6,684.98","6,465.99",6574.99
2017-11-15 0:00:00,"6,575.99","7,298.00","6,575.99",7240.06
2017-11-16 0:00:00,"7,076.00","7,940.00","7,240.14",7864.5
2017-11-17 0:00:00,"7,451.00","7,989.00","7,876.98",7699.19
2017-11-18 0:00:00,"7,422.00","7,819.99","7,680.01",7761.94
2017-11-19 0:00:00,"7,650.33","8,123.15","7,761.94",8038
2017-11-20 0:00:00,"7,954.00","8,319.99","8,057.11",8212
2017-11-21 0:00:00,"7,801.00","8,400.00","8,212.49",8119.51
2017-11-22 0:00:00,"8,091.09","8,322.68","8,091.09",8205.92
2017-11-23 0:00:00,"8,000.00","8,260.00","8,233.03",8019.99
2017-11-24 0:00:00,"7,850.00","8,369.00","8,019.97",8138
